✅ 기록됨: 0ms, 보정된 pitch: 0.00
✅ 기록됨: 100032ms, 보정된 pitch: 9.69
✅ 기록됨: 101035ms, 보정된 pitch: 9.32
✅ 기록됨: 102038ms, 보정된 pitch: 10.59
✅ 기록됨: 103041ms, 보정된 pitch: 10.01
✅ 기록됨: 104044ms, 보정된 pitch: 9.45
✅ 기록됨: 105047ms, 보정된 pitch: 10.20
✅ 기록됨: 106051ms, 보정된 pitch: 10.70
✅ 기록됨: 107055ms, 보정된 pitch: 9.12
✅ 기록됨: 108057ms, 보정된 pitch: 9.30
✅ 기록됨: 109062ms, 보정된 pitch: 9.74
✅ 기록됨: 110065ms, 보정된 pitch: 8.85
✅ 기록됨: 111068ms, 보정된 pitch: 9.33
✅ 기록됨: 112072ms, 보정된 pitch: 8.89
✅ 기록됨: 113073ms, 보정된 pitch: 9.97
✅ 기록됨: 114077ms, 보정된 pitch: 9.24
✅ 기록됨: 115081ms, 보정된 pitch: 9.18
✅ 기록됨: 116085ms, 보정된 pitch: 9.38
✅ 기록됨: 117088ms, 보정된 pitch: 9.60
✅ 기록됨: 118092ms, 보정된 pitch: 9.09
✅ 기록됨: 119096ms, 보정된 pitch: 8.96
✅ 기록됨: 120098ms, 보정된 pitch: 9.41
✅ 기록됨: 121102ms, 보정된 pitch: 8.73
✅ 기록됨: 122104ms, 보정된 pitch: 8.70
✅ 기록됨: 123107ms, 보정된 pitch: 9.06
✅ 기록됨: 124110ms, 보정된 pitch: 8.74
